# Histogram
000154 000128	000035	000002	000001	000166
000155 000151	000014	000001	000000	000166
000156 000142	000018	000000	000000	000160
000157 000134	000022	000002	000000	000158
000158 000119	000019	000001	000000	000139
000159 000123	000019	000001	000000	000143
000160 000120	000016	000002	000000	000138
000161 000152	000015	000000	000000	000167
000162 000120	000009	000000	000000	000129
000163 000122	000012	000002	000000	000136
000164 000119	000009	000001	000000	000129
000165 000119	000004	000000	000000	000123
000166 000146	000003	000000	000000	000149
000167 000140	000004	000000	000000	000144
000168 000129	000006	000001	000000	000136
000169 000131	000005	000001	000000	000137
000170 000121	000005	000001	000000	000127
000171 000123	000002	000000	000000	000125
000172 000106	000006	000000	000000	000112
000173 000101	000004	000000	000000	000105
000174 000119	000003	000001	000000	000123
000175 000121	000006	000001	000000	000128
000176 000135	000002	000000	000000	000137
000177 000117	000004	000000	000000	000121
000178 000132	000002	000000	000000	000134
000179 000121	000000	000000	000000	000121
000180 000126	000001	000000	000000	000127
000181 000143	000003	000000	000000	000146
000182 000133	000001	000000	000000	000134
000183 000181	000003	000000	000000	000184
000184 000191	000002	000000	000000	000193
000185 000173	000001	000000	000000	000174
000186 000179	000001	000000	000000	000180
000187 000192	000000	000000	000000	000192
000188 000202	000004	000000	000000	000206
000189 000194	000001	000000	000001	000196
000190 000218	000003	000001	000000	000222
000191 000233	000001	000000	000000	000234
000192 000240	000001	000000	000000	000241
000193 000225	000007	000000	000000	000232
000194 000205	000000	000000	000000	000205
000195 000248	000004	000000	000000	000252
000196 000216	000001	000000	000000	000217
000197 000210	000002	000001	000000	000213
000198 000171	000001	000000	000000	000172
000199 000156	000001	000000	000000	000157
000200 000133	000001	000001	000000	000135
000201 000149	000000	000000	000000	000149
000202 000149	000002	000000	000000	000151
000203 000150	000000	000000	000000	000150
000204 000143	000003	000000	000000	000146
000205 000121	000001	000000	000000	000122
000206 000148	000000	000000	000000	000148
000207 000165	000000	000000	000000	000165
000208 000149	000000	000000	000000	000149
000209 000135	000000	000001	000000	000136
000210 000145	000001	000000	000000	000146
000211 000152	000001	000000	000000	000153
000212 000141	000001	000000	000000	000142
000213 000135	000002	000000	000000	000137
000214 000144	000002	000000	000000	000146
000215 000124	000000	000000	000000	000124
000216 000108	000002	000000	000000	000110
000217 000116	000001	000000	000000	000117
000218 000123	000000	000000	000000	000123
000219 000153	000001	000000	000000	000154
000220 000147	000001	000000	000000	000148
000221 000131	000000	000001	000000	000132
000222 000154	000000	000000	000000	000154
000223 000136	000001	000000	000000	000137
000224 000152	000000	000000	000000	000152
000225 000126	000000	000000	000000	000126
000226 000166	000000	000000	000000	000166
000227 000171	000001	000000	000000	000172
000228 000185	000000	000000	000000	000185
000229 000181	000000	000000	000000	000181
000230 000216	000000	000000	000000	000216
000231 000254	000000	000000	000000	000254
000232 000208	000000	000001	000000	000209
000233 000212	000000	000000	000000	000212
000234 000229	000000	000000	000000	000229
000235 000266	000000	000000	000000	000266
000236 000210	000000	000000	000000	000210
000237 000234	000000	000000	000000	000234
000238 000228	000002	000000	000000	000230
000239 000193	000000	000000	000000	000193
000240 000180	000000	000000	000000	000180
000241 000212	000000	000000	000000	000212
000242 000213	000000	000000	000000	000213
000243 000205	000000	000000	000000	000205
000244 000187	000001	000000	000000	000188
000245 000178	000001	000001	000000	000180
000246 000159	000000	000000	000000	000159
000247 000133	000000	000000	000000	000133
000248 000148	000001	000000	000000	000149
000249 000136	000000	000000	000000	000136
000250 000120	000000	000000	000000	000120
000251 000108	000000	000000	000000	000108
000252 000118	000000	000000	000000	000118
000253 000117	000000	000000	000000	000117
000254 000113	000000	000000	000000	000113
000255 000106	000000	000000	000000	000106
000256 000108	000000	000000	000000	000108
000257 000117	000000	000000	000000	000117
000258 000118	000000	000000	000000	000118
000259 000103	000000	000000	000000	000103
000260 000097	000001	000000	000000	000098
000261 000100	000000	000000	000000	000100
000262 000097	000000	000000	000000	000097
000263 000089	000000	000000	000000	000089
000264 000092	000000	000000	000000	000092
000265 000077	000000	000000	000000	000077
000266 000092	000000	000000	000000	000092
000267 000084	000000	000000	000000	000084
000268 000092	000000	000000	000000	000092
000269 000100	000001	000000	000000	000101
000270 000081	000000	000000	000000	000081
000271 000098	000000	000000	000000	000098
000272 000096	000000	000000	000000	000096
000273 000069	000000	000000	000000	000069
000274 000077	000000	000000	000000	000077
000275 000085	000000	000000	000000	000085
000276 000073	000000	000000	000000	000073
000277 000082	000000	000000	000000	000082
000278 000084	000000	000000	000000	000084
000279 000073	000000	000000	000000	000073
000280 000090	000000	000000	000000	000090
000281 000064	000000	000000	000000	000064
000282 000067	000000	000000	000000	000067
000283 000081	000000	000000	000000	000081
000284 000074	000000	000000	000000	000074
000285 000083	000000	000000	000000	000083
000286 000069	000000	000000	000000	000069
000287 000068	000000	000000	000000	000068
000288 000076	000000	000000	000000	000076
000289 000060	000000	000000	000000	000060
000290 000055	000000	000000	000000	000055
000291 000064	000000	000000	000000	000064
000292 000070	000000	000000	000000	000070
000293 000075	000000	000000	000000	000075
000294 000075	000000	000000	000000	000075
000295 000072	000000	000000	000000	000072
000296 000078	000000	000000	000000	000078
000297 000066	000000	000000	000000	000066
000298 000077	000000	000000	000000	000077
000299 000060	000000	000000	000000	000060
000300 000071	000000	000000	000000	000071
000301 000065	000000	000000	000000	000065
000302 000067	000000	000000	000000	000067
000303 000063	000000	000000	000000	000063
000304 000061	000000	000000	000000	000061
000305 000059	000000	000000	000000	000059
000306 000063	000000	000000	000000	000063
000307 000044	000000	000000	000000	000044
000308 000056	000000	000000	000000	000056
000309 000067	000000	000000	000000	000067
000310 000060	000000	000000	000000	000060
000311 000058	000000	000000	000000	000058
000312 000064	000000	000000	000000	000064
000313 000058	000000	000000	000000	000058
000314 000050	000000	000000	000000	000050
000315 000037	000000	000000	000000	000037
000316 000047	000000	000000	000000	000047
000317 000040	000000	000000	000000	000040
000318 000046	000000	000000	000000	000046
000319 000037	000000	000000	000000	000037
000320 000049	000000	000000	000000	000049
000321 000048	000000	000000	000000	000048
000322 000046	000000	000000	000000	000046
000323 000038	000000	000000	000000	000038
000324 000047	000000	000000	000000	000047
000325 000053	000000	000000	000000	000053
000326 000039	000000	000000	000000	000039
000327 000046	000000	000000	000000	000046
000328 000050	000000	000000	000000	000050
000329 000041	000000	000000	000000	000041
000330 000057	000000	000000	000000	000057
000331 000036	000000	000000	000000	000036
000332 000036	000000	000000	000000	000036
000333 000037	000000	000000	000000	000037
000334 000038	000000	000000	000000	000038
000335 000034	000000	000000	000000	000034
000336 000047	000000	000000	000000	000047
000337 000049	000000	000000	000000	000049
000338 000029	000000	000000	000000	000029
000339 000035	000000	000000	000000	000035
000340 000026	000000	000000	000000	000026
000341 000038	000000	000000	000000	000038
000342 000049	000000	000000	000000	000049
000343 000041	000000	000000	000000	000041
000344 000033	000000	000000	000000	000033
000345 000035	000000	000000	000000	000035
000346 000036	000000	000000	000000	000036
000347 000034	000000	000000	000000	000034
000348 000033	000000	000000	000000	000033
000349 000032	000000	000000	000000	000032
000350 000034	000000	000000	000000	000034
000351 000033	000000	000000	000000	000033
000352 000024	000000	000000	000000	000024
000353 000035	000000	000000	000000	000035
000354 000028	000000	000000	000000	000028
000355 000018	000000	000000	000000	000018
000356 000033	000000	000000	000000	000033
000357 000025	000000	000000	000000	000025
000358 000031	000000	000000	000000	000031
000359 000027	000000	000000	000000	000027
000360 000031	000000	000000	000000	000031
000361 000033	000000	000000	000000	000033
000362 000028	000000	000000	000000	000028
000363 000026	000000	000000	000000	000026
000364 000023	000000	000000	000000	000023
000365 000022	000000	000000	000000	000022
000366 000018	000000	000000	000000	000018
000367 000024	000000	000000	000000	000024
000368 000032	000000	000000	000000	000032
000369 000023	000000	000000	000000	000023
000370 000026	000000	000000	000000	000026
000371 000025	000000	000000	000000	000025
000372 000025	000000	000000	000000	000025
000373 000012	000000	000000	000000	000012
000374 000024	000001	000000	000000	000025
000375 000022	000000	000000	000000	000022
000376 000033	000000	000000	000000	000033
000377 000014	000000	000000	000000	000014
000378 000018	000000	000000	000000	000018
000379 000015	000000	000000	000000	000015
000380 000029	000000	000000	000000	000029
000381 000026	000000	000000	000000	000026
000382 000018	000000	000000	000000	000018
000383 000027	000000	000000	000000	000027
000384 000028	000000	000000	000000	000028
000385 000016	000000	000000	000000	000016
000386 000021	000000	000000	000000	000021
000387 000013	000000	000000	000000	000013
000388 000031	000000	000000	000000	000031
000389 000018	000000	000000	000000	000018
000390 000026	000000	000000	000000	000026
000391 000017	000000	000000	000000	000017
000392 000011	000000	000000	000000	000011
000393 000021	000000	000000	000000	000021
000394 000017	000000	000000	000000	000017
000395 000018	000000	000000	000000	000018
000396 000019	000000	000000	000000	000019
000397 000011	000000	000000	000000	000011
000398 000013	000000	000000	000000	000013
000399 000013	000000	000000	000000	000013
000400 000011	000000	000000	000000	000011
000401 000023	000000	000000	000000	000023
000402 000012	000000	000000	000000	000012
000403 000010	000000	000000	000000	000010
000404 000010	000000	000000	000000	000010
000405 000012	000000	000000	000000	000012
000406 000010	000000	000000	000000	000010
000407 000013	000000	000000	000000	000013
000408 000013	000000	000000	000000	000013
000409 000013	000000	000000	000000	000013
000410 000015	000000	000000	000000	000015
000411 000016	000000	000000	000000	000016
000412 000013	000000	000000	000000	000013
000413 000009	000000	000000	000000	000009
000414 000010	000000	000000	000000	000010
000415 000011	000000	000000	000000	000011
000416 000015	000000	000000	000000	000015
000417 000014	000000	000000	000000	000014
000418 000007	000000	000000	000000	000007
000419 000013	000000	000000	000000	000013
000420 000010	000000	000000	000000	000010
000421 000011	000000	000000	000000	000011
000422 000010	000000	000000	000000	000010
000423 000011	000000	000000	000000	000011
000424 000011	000000	000000	000000	000011
000425 000016	000000	000000	000000	000016
000426 000008	000000	000000	000000	000008
000427 000007	000000	000000	000000	000007
000428 000010	000000	000000	000000	000010
000429 000008	000000	000000	000000	000008
000430 000010	000000	000000	000000	000010
000431 000008	000000	000000	000000	000008
000432 000003	000000	000000	000000	000003
000433 000007	000000	000000	000000	000007
000434 000006	000000	000000	000000	000006
000435 000012	000000	000000	000000	000012
000436 000007	000000	000000	000000	000007
000437 000006	000000	000000	000000	000006
000438 000008	000000	000000	000000	000008
000439 000005	000000	000000	000000	000005
000440 000004	000000	000000	000000	000004
000441 000005	000000	000000	000000	000005
000442 000007	000000	000000	000000	000007
000443 000007	000000	000000	000000	000007
000444 000005	000000	000000	000000	000005
000445 000004	000000	000000	000000	000004
000446 000006	000000	000000	000000	000006
000447 000004	000000	000000	000000	000004
000448 000008	000000	000000	000000	000008
000449 000001	000000	000000	000000	000001
000450 000002	000000	000000	000000	000002
000451 000003	000000	000000	000000	000003
000452 000006	000000	000000	000000	000006
000453 000003	000000	000000	000000	000003
000454 000003	000000	000000	000000	000003
000455 000006	000000	000000	000000	000006
000456 000001	000000	000000	000000	000001
000457 000006	000000	000000	000000	000006
000458 000005	000000	000000	000000	000005
000459 000001	000000	000000	000000	000001
000460 000005	000000	000000	000000	000005
000461 000003	000000	000000	000000	000003
000462 000002	000000	000000	000000	000002
000463 000003	000000	000000	000000	000003
000464 000003	000000	000000	000000	000003
000465 000004	000000	000000	000000	000004
000466 000006	000000	000000	000000	000006
000467 000004	000000	000000	000000	000004
000468 000004	000000	000000	000000	000004
000469 000001	000000	000000	000000	000001
000470 000000	000000	000000	000000	000000
000471 000001	000000	000000	000000	000001
000472 000000	000000	000000	000000	000000
000473 000001	000000	000000	000000	000001
000474 000000	000000	000000	000000	000000
000475 000003	000000	000000	000000	000003
000476 000002	000000	000000	000000	000002
000477 000000	000000	000000	000000	000000
000478 000003	000000	000000	000000	000003
000479 000002	000000	000000	000000	000002
000480 000000	000000	000000	000000	000000
000481 000000	000000	000000	000000	000000
000482 000000	000000	000000	000000	000000
000483 000000	000000	000000	000000	000000
000484 000001	000000	000000	000000	000001
000485 000000	000000	000000	000000	000000
000486 000000	000000	000000	000000	000000
000487 000002	000000	000000	000000	000002
000488 000000	000000	000000	000000	000000
000489 000001	000000	000000	000000	000001
000490 000002	000000	000000	000000	000002
000491 000001	000000	000000	000000	000001
000492 000001	000000	000000	000000	000001
000493 000001	000000	000000	000000	000001
000494 000000	000000	000000	000000	000000
000495 000000	000000	000000	000000	000000
000496 000000	000000	000000	000000	000000
000497 000000	000000	000000	000000	000000
000498 000000	000000	000000	000000	000000
000499 000000	000000	000000	000000	000000
000500 000000	000000	000000	000000	000000
000501 000000	000000	000000	000000	000000
000502 000000	000000	000000	000000	000000
000503 000000	000000	000000	000000	000000
000504 000000	000000	000000	000000	000000
000505 000002	000000	000000	000000	000002
000506 000001	000000	000000	000000	000001
000507 000000	000000	000000	000000	000000
000508 000000	000000	000000	000000	000000
000509 000000	000000	000000	000000	000000
000510 000000	000000	000000	000000	000000
000511 000001	000000	000000	000000	000001
000512 000000	000000	000000	000000	000000
000513 000000	000000	000000	000000	000000
000514 000000	000000	000000	000000	000000
000515 000000	000000	000000	000000	000000
000516 000000	000000	000000	000000	000000
000517 000000	000000	000000	000000	000000
000518 000000	000000	000000	000000	000000
000519 000001	000000	000000	000000	000001
000520 000000	000000	000000	000000	000000
000521 000000	000000	000000	000000	000000
000522 000000	000000	000000	000000	000000
000523 000000	000000	000000	000000	000000
000524 000000	000000	000000	000000	000000
000525 000000	000000	000000	000000	000000
000526 000000	000000	000000	000000	000000
000527 000000	000000	000000	000000	000000
000528 000000	000000	000000	000000	000000
000529 000000	000000	000000	000000	000000
000530 000000	000000	000000	000000	000000
000531 000000	000000	000000	000000	000000
000532 000000	000000	000000	000000	000000
000533 000000	000000	000000	000000	000000
000534 000000	000000	000000	000000	000000
000535 000000	000000	000000	000000	000000
000536 000000	000000	000000	000000	000000
000537 000000	000000	000000	000000	000000
000538 000000	000000	000000	000000	000000
000539 000000	000000	000000	000000	000000
000540 000000	000000	000000	000000	000000
000541 000000	000000	000000	000000	000000
000542 000000	000000	000000	000000	000000
000543 000000	000000	000000	000000	000000
000544 000000	000000	000000	000000	000000
000545 000000	000000	000000	000000	000000
000546 000000	000000	000000	000000	000000
000547 000000	000000	000000	000000	000000
000548 000000	000000	000000	000000	000000
000549 000001	000000	000000	000000	000001
000550 000000	000000	000000	000000	000000
000551 000000	000000	000000	000000	000000
000552 000000	000000	000000	000000	000000
000553 000000	000000	000000	000000	000000
000554 000000	000000	000000	000000	000000
000555 000000	000000	000000	000000	000000
000556 000000	000000	000000	000000	000000
000557 000000	000000	000000	000000	000000
000558 000000	000000	000000	000000	000000
000559 000001	000000	000000	000000	000001
000560 000000	000000	000000	000000	000000
000561 000000	000000	000000	000000	000000
000562 000000	000000	000000	000000	000000
000563 000000	000000	000000	000000	000000
000564 000000	000000	000000	000000	000000
000565 000000	000000	000000	000000	000000
000566 000000	000000	000000	000000	000000
000567 000000	000000	000000	000000	000000
000568 000000	000000	000000	000000	000000
000569 000000	000000	000000	000000	000000
000570 000000	000000	000000	000000	000000
000571 000000	000000	000000	000000	000000
000572 000000	000000	000000	000000	000000
000573 000000	000000	000000	000000	000000
000574 000000	000000	000000	000000	000000
000575 000000	000000	000000	000000	000000
000576 000000	000000	000000	000000	000000
000577 000000	000000	000000	000000	000000
000578 000000	000000	000000	000000	000000
000579 000000	000000	000000	000000	000000
000580 000000	000000	000000	000000	000000
000581 000000	000000	000000	000000	000000
000582 000000	000000	000000	000000	000000
000583 000000	000000	000000	000000	000000
000584 000000	000000	000000	000000	000000
000585 000000	000000	000000	000000	000000
000586 000000	000000	000000	000000	000000
000587 000000	000000	000000	000000	000000
000588 000000	000000	000000	000000	000000
000589 000000	000000	000000	000000	000000
000590 000000	000000	000000	000000	000000
000591 000000	000000	000000	000000	000000
000592 000000	000000	000000	000000	000000
000593 000000	000000	000000	000000	000000
000594 000000	000000	000000	000000	000000
000595 000000	000000	000000	000000	000000
000596 000000	000000	000000	000000	000000
000597 000000	000000	000000	000000	000000
000598 000000	000000	000000	000000	000000
000599 000000	000000	000000	000000	000000
000600 000000	000000	000000	000000	000000
000601 000000	000000	000000	000000	000000
000602 000000	000000	000000	000000	000000
000603 000000	000000	000000	000000	000000
000604 000000	000000	000000	000000	000000
000605 000000	000000	000000	000000	000000
000606 000000	000000	000000	000000	000000
000607 000000	000000	000000	000000	000000
000608 000000	000000	000000	000000	000000
000609 000000	000000	000000	000000	000000
000610 000000	000000	000000	000000	000000
000611 000000	000000	000000	000000	000000
000612 000000	000000	000000	000000	000000
000613 000000	000000	000000	000000	000000
000614 000000	000000	000000	000000	000000
000615 000000	000000	000000	000000	000000
000616 000000	000000	000000	000000	000000
000617 000000	000000	000000	000000	000000
000618 000000	000000	000000	000000	000000
000619 000000	000000	000000	000000	000000
000620 000000	000000	000000	000000	000000
000621 000000	000000	000000	000000	000000
000622 000000	000000	000000	000000	000000
000623 000000	000000	000000	000000	000000
000624 000000	000000	000000	000000	000000
000625 000000	000000	000000	000000	000000
000626 000000	000000	000000	000000	000000
000627 000000	000000	000000	000000	000000
